Rk,Season,Age,Tm,Lg,Player,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
3,2017-18,19,BOS,NBA,Jayson Tatum\tatumja01,80,80,2438,15.3,.290,.309,2.3,15.6,9.0,8.3,1.7,2.0,10.7,19.5,111,103,3.0,4.0,7.1,.139,-0.5,1.5,1.0,1.8
4,2017-18,20,DAL,NBA,Dennis Smith\smithde03,69,69,2049,12.8,.331,.189,2.6,11.8,7.0,29.5,1.7,0.8,15.0,28.9,93,110,-2.4,1.7,-0.7,-.017,-1.5,-0.7,-2.3,-0.1
5,2017-18,21,PHI,NBA,Ben Simmons\simmobe01,81,81,2732,20.0,.011,.342,5.9,19.5,13.0,37.4,2.5,2.1,19.5,22.3,111,102,4.2,5.0,9.2,.162,1.0,3.6,4.6,4.6
12,2017-18,21,UTA,NBA,Donovan Mitchell\mitchdo01,79,71,2638,16.7,.404,.218,2.3,10.4,6.4,19.4,2.2,0.9,12.6,29.1,103,105,1.4,3.8,5.2,.095,1.3,-0.2,1.1,2.1
13,2017-18,20,CHI,NBA,Lauri Markkanen\markkla01,68,68,2020,15.6,.465,.193,4.0,23.7,13.5,6.4,0.9,1.8,8.2,21.9,107,110,1.7,1.6,3.3,.079,-0.6,-1.3,-1.9,0.1
14,2017-18,22,LAL,NBA,Kyle Kuzma\kuzmaky01,77,37,2401,14.2,.418,.200,3.9,17.4,10.7,9.1,1.0,1.1,11.0,22.5,105,109,1.5,2.3,3.8,.077,-0.3,-1.0,-1.3,0.4
18,2017-18,20,PHO,NBA,Josh Jackson\jacksjo02,77,35,1959,11.8,.233,.299,5.1,14.2,9.6,10.1,2.0,1.4,12.2,26.0,93,112,-2.0,1.2,-0.7,-.018,-3.1,-1.2,-4.3,-1.1
24,2017-18,20,ATL,NBA,John Collins\collijo01,74,26,1785,18.3,.086,.341,11.0,22.8,16.9,8.9,1.3,3.8,14.3,17.9,117,108,3.4,2.0,5.4,.145,-0.2,1.9,1.7,1.7
26,2017-18,25,SAC,NBA,Bogdan Bogdanovic\bogdabo01,78,53,2175,13.5,.426,.154,1.6,10.5,5.8,18.3,1.7,0.7,13.2,19.6,107,113,1.8,1.1,2.9,.064,0.5,-1.5,-1.0,0.6
9,2017-18,20,LAL,NBA,Lonzo Ball\balllo01,52,50,1780,12.5,.523,.126,4.2,17.3,10.8,29.2,2.4,2.0,18.6,17.4,97,106,-0.5,2.5,2.0,.053,-0.8,2.5,1.7,1.7
