Rk,Season,Age,Tm,Lg,G,Player,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
3,2017-18,19,BOS,NBA,80,Jayson Tatum\tatumja01,80,2438,5.9,12.3,4.3,8.8,1.6,3.6,3.1,3.8,0.7,5.2,5.9,1.9,1.2,0.9,1.7,2.5,16.4,.475,.492,.434,.538,.826,.586
4,2017-18,20,DAL,NBA,69,Dennis Smith\smithde03,69,2049,7.1,18.0,5.2,12.0,1.9,6.0,2.4,3.4,0.9,3.7,4.6,6.3,1.2,0.3,3.4,2.7,18.4,.395,.436,.313,.447,.694,.473
5,2017-18,21,PHI,NBA,81,Ben Simmons\simmobe01,81,2732,7.2,13.2,7.2,13.0,0.0,0.1,2.5,4.5,1.9,6.8,8.7,8.7,1.8,0.9,3.7,2.8,16.9,.545,.551,.000,.545,.560,.557
12,2017-18,21,UTA,NBA,79,Donovan Mitchell\mitchdo01,71,2638,8.1,18.6,5.6,11.1,2.6,7.5,3.3,4.1,0.7,3.3,4.0,4.0,1.6,0.4,2.9,2.9,22.1,.437,.502,.340,.506,.805,.541
14,2017-18,20,CHI,NBA,68,Lauri Markkanen\markkla01,68,2020,6.7,15.4,4.1,8.2,2.6,7.1,2.5,3.0,1.4,7.6,9.1,1.4,0.7,0.7,1.5,1.8,18.4,.434,.497,.362,.518,.843,.552
16,2017-18,22,LAL,NBA,77,Kyle Kuzma\kuzmaky01,37,2401,7.0,15.6,4.6,9.1,2.4,6.5,2.2,3.1,1.3,5.9,7.2,2.1,0.7,0.5,2.1,2.4,18.6,.450,.511,.366,.527,.707,.549
20,2017-18,20,PHO,NBA,77,Josh Jackson\jacksjo02,35,1959,7.1,17.1,6.1,13.1,1.0,4.0,3.3,5.1,1.7,4.7,6.5,2.2,1.5,0.6,2.7,4.0,18.6,.417,.464,.263,.448,.634,.480
27,2017-18,20,ATL,NBA,74,John Collins\collijo01,26,1785,6.3,11.0,6.0,10.0,0.3,0.9,2.7,3.8,3.5,7.4,10.9,2.0,0.9,1.6,2.1,4.3,15.7,.576,.598,.340,.591,.715,.620
30,2017-18,25,SAC,NBA,78,Bogdan Bogdanovic\bogdabo01,53,2175,5.7,12.8,3.6,7.3,2.1,5.4,1.7,2.0,0.5,3.2,3.7,4.3,1.2,0.3,2.1,2.8,15.2,.446,.485,.392,.529,.840,.556
32,2017-18,20,LAL,NBA,52,Lonzo Ball\balllo01,50,1780,4.1,11.4,2.3,5.4,1.8,6.0,0.6,1.4,1.4,5.9,7.3,7.6,1.8,0.9,2.8,2.4,10.7,.360,.420,.305,.440,.451,.444
